GeoName,Description,Unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Illinois,Personal Income,USD,501032.9,555082.2,587633.7,612290.9,674011,708467.9,745292.1,785630.1,849939.3,906799.6,963166.6,984582.7,1062479.8,1100591.5,1159191.2,1229767.2,1307991.7,1382328.6,1466376.3,1530421,1644883.4,1708729.5,1729526.7,1761920.4,1831337.1,1902585,2024086.6,2140410.3,2204638.9,2103175.8,2163523.6,2272921.4,2375256.8,2422726.2,2517859.9,2628320.9,2658747.2,2742530.9,2890746.4,2966868.9,3149951.1,3414083.7
Indiana,Personal Income,USD,205738.4,225540.2,233623.9,245171.3,271777.7,287127,302411.7,319976.4,343420.9,373934.9,394898.5,407379.2,440249.9,463985.3,492937.3,515266.8,544363.6,573280.2,618087.4,641863.1,684128.2,700919,711675.3,729831.8,764353.3,787996.1,833494.8,863679.5,906409.1,883634.6,924102.2,982924.7,1025138.7,1038139.1,1076636.4,1117542.9,1149100.6,1191961.9,1252508.8,1305546.6,1404426.4,1551677.1
Iowa,Personal Income,USD,112040.4,126734.1,130179.9,132704.3,147663.7,152850.2,157897.8,164900.4,170906.9,186016.9,196080.8,200843.5,215052.9,216022.6,235555.6,245025.7,266898.9,279633,292590.1,299994.8,320330.5,330079,338072.7,345322.4,373511.6,384319.9,407994.3,436276.2,464451.2,451853.8,466142.8,501999.2,524547.8,533740.5,550933.9,570084.5,575359.4,591645.8,618744.1,632474,671115.6,742486.9
Kansas,Personal Income,USD,95518.3,108153.6,117253.9,122218.5,133956.8,140989.6,147799.7,154038.4,162685.3,172252.7,182980.4,189469.2,203652.4,213072.6,222736.8,232225.1,247284.1,262814.1,278844.6,287874.3,303483.2,313963.2,317141.5,327072.8,336307.8,355135.9,391355.7,420330.5,461193.3,446235.6,455371.9,492795.7,519398.8,530075.9,539095.5,544756.5,547014.2,565247.1,589629.7,611704.8,646818.7,688283.9
Kentucky,Personal Income,USD,119518,132882.1,141548.4,147060.1,164096.8,171197.3,176008.4,185388.3,202147.5,217254.8,230658.3,243579.4,262033.6,272274.5,286130,299841.1,317930,337865.4,357612.2,372699.9,401900.4,415991.2,426207.4,439063.5,464856.3,486937.9,514336.4,536839.7,563350.6,555998.9,577342.2,605519.6,626259.6,631621.6,659448.5,689077.5,701102.3,723344.3,747724.4,781678.8,847867.2,929450.4
Louisiana,Personal Income,USD,149496.4,172244.3,185405.7,193704.8,205825.6,214419.5,214659.9,215044.7,227306.8,241023.8,259420,273761.6,292805.7,307168.5,327202.4,343313.5,358415.9,376805.8,395454.1,404630.9,427630.8,459069.6,472777.1,488039.5,509547.5,548649.7,578737.4,633731.8,680034.7,661222.6,692029.4,713403.8,748762.8,758965.3,790919.2,793703.6,789647.8,813819.4,849283,877112.1,934860.1,1009276.8
Maine,Personal Income,USD,38621.4,42554,46251.7,49882,55043.4,59509.4,64432.2,69658.5,77027.4,83936.7,87443.2,89047.3,93180.3,96225.4,100146.4,104495.1,110310.5,116741.7,125057.6,130701.5,140365.6,148219.9,153162.7,160651.4,168658.1,172414,180904.1,187917.3,196703.4,197348.2,201947.9,210159.1,212909.2,212960.7,219938.2,229425.8,237147.2,246960.6,257852.8,271368.8,296169.6,323302.8
Maryland,Personal Income,USD,194077.4,215982,234188.8,251196.6,278346,301862.8,326056.2,350893.3,386739.5,418089,443569.5,460040.1,482326.9,501602.7,525203,548346.4,573981.2,605731,654036.2,692503,753748.6,795707.6,826829.4,863893.8,921116.9,968855.8,1019532.3,1063580.2,1114833.4,1110494.6,1149437.4,1213080.4,1241681.5,1237317.9,1275932.4,1331824.9,1376780.4,1424315.9,1471325.1,1521368.3,1600704.4,1705469.7
Massachusetts,Personal Income,USD,245647.7,273648.9,300008.3,325837.5,367157.2,397100.4,428367.1,462409.4,510534.9,540302.4,556850.4,565981.6,593534.1,616927.6,648031.1,686063.5,728974.9,772675.5,822036.7,878533.4,976589.4,1016232.3,1011838.1,1031672,1083461.8,1128552.4,1213061.7,1277628,1333802.1,1323093.6,1385079.7,1452305.3,1506364.7,1517001.4,1585954.7,1690190.2,1754393.9,1839115.1,1935817.7,2030851,2165682,2333452.2
Michigan,Personal Income,USD,378807.1,404734.4,419015.6,446349.5,492088.7,534046.5,567841.4,588115.4,629559.2,677831.2,709432.9,726177.5,768360.8,808923,869928.1,919915,967020.3,1012302.9,1074847.8,1128515.5,1204241.8,1226681.6,1225708.4,1255844.1,1290793.4,1316941.1,1347370.4,1386927.5,1425424.6,1356400,1408297.2,1491817,1549356.8,1563431.4,1629068.2,1717139.6,1766228.8,1819579.3,1896832,1957972.6,2126120.9,2272528.1
Minnesota,Personal Income,USD,168041.9,186062.6,199350.2,210361,238395.6,253296.2,267904.7,284863.6,301394.1,329161.1,349947.8,361246.7,387730.8,399490.5,428047.7,452651.7,487834.1,515731.2,561076.5,589504.9,638381.7,666036.1,680340.6,711449,754699.6,774335.2,812997.9,860741.6,902133.8,865341.6,903886.3,966398.1,1021710.9,1030031.1,1080760.9,1131952.3,1155466.4,1206996,1270259.1,1316462.5,1399549.6,1527156.6
Mississippi,Personal Income,USD,72410.8,81315.4,85847.2,89831.8,98055.5,103260,107105.3,113024.3,121144.2,130843,137745.8,145243.2,156170.1,166274.6,179877.9,190260.6,201821.4,213482.2,226324.3,233977.7,246419.4,260256.3,265304.8,276047.7,292219.6,310539.8,323342.7,344747.8,362410,357656.1,370857.4,386573.8,398931.4,405888.4,413770.9,419088.8,425422,436531.2,447671.4,465025.4,503042,549526.6
Missouri,Personal Income,USD,184554.2,205919,220175.3,235107.6,260419.9,278816.2,293516.6,308101.9,328228.6,351767,367586.2,384300.1,408312.2,426893.6,453026.5,477599.2,505576.6,536471.3,563358.7,584689.8,624808.5,646124.8,661559.2,686372.8,721815.1,747083.6,791336.4,829645.3,879687.9,865697.8,887040.8,923433.2,963871,969972,1003134.9,1037400,1068194.3,1095096.8,1144337.2,1189396.3,1282371.5,1383844.8
Montana,Personal Income,USD,28862.8,32777.6,34530.3,36329.2,38375.9,38943.8,40491.4,41420.3,42719,47054.4,49516.8,52866.5,56037,60616.2,62297.5,65600.1,68694.7,71640.9,76502.9,77987.6,83082.2,86740.9,89401.1,96060.7,104288.7,112208.2,121450.8,130587.3,138922.2,135706.5,142683.5,152330.8,161747.5,163143.9,171605.8,178333.3,181133.2,192013.3,201408.1,213572.2,232835.2,258168.2
Nebraska,Personal Income,USD,59065.7,68556.5,73664.1,76239.7,84795.9,89380.1,91981.2,95918.6,102833.7,109108.5,116951.7,121376.2,128764.9,133035.3,141558.5,149533.1,162827.2,167832.9,178987.9,187297.7,198281.1,207647.1,211217.1,224408.6,234388.8,242392.4,253268.7,272394.6,289509.3,285838.7,300776.3,336384.6,344943.3,344088.6,364337.8,378726.9,374238.7,383294.8,400270.9,417959.6,445390.1,492321.8
Nevada,Personal Income,USD,38725.7,43992.8,47010.8,50123,54537.2,59165,63916.6,69628,79305.1,89315.7,100156.9,110174.3,121839.4,131731.7,145769.2,160301.9,177346.9,193800.7,216869,234494.5,257250.4,272107,279810.9,298073.6,330098.8,368776.6,397940.4,414823.9,410143.4,387931,403001.6,418385.7,434784.6,435657.5,462056.5,500354.5,519516.7,555387.9,593632.5,637171.4,681076.9,768024.2
New Hampshire,Personal Income,USD,37127.5,42023.2,46246.4,50857.7,57411.7,63324,69998.9,77139.1,85229.8,91301.2,92020,95272.7,99807.6,103060.7,110012.5,116703.8,123570.3,133144.6,146389.9,155720.8,175184.5,184719.7,187889.2,191331.9,202932,209857.3,224339.5,233222.1,240615.1,237526.1,247523.6,259555.9,269272.2,268487.1,278521.9,291118.3,300915.9,314643.8,329414.9,350825.5,374328.2,400787.4
New Jersey,Personal Income,USD,348338,388673.6,419924,453843.3,501541.8,537939.8,575962.6,618842.1,681923.6,731536.5,768683.4,784678.7,841594.2,869616.3,900267.6,955607.6,1010522.8,1075173.6,1146320.9,1198895.5,1318367.1,1365235.7,1383954.8,1416390.8,1479083.6,1530997,1641059.5,1740195,1798181.7,1745085.8,1795724.4,1877011.6,1938400,1954365.2,2037430.3,2121212.5,2181207,2264948.3,2367641.6,2499279.2,2631577.4,2820380.7
New Mexico,Personal Income,USD,45298.8,51159,56042.3,60346.6,65804.4,71248.2,74048.2,76943,81520.2,87309.4,93168.9,99814.2,107113,115173.3,122912.8,132067.5,138659,145597.9,152932.5,155660.2,167689.1,179835.4,187286.9,196079,208398.6,222163.2,238855,252974.5,269849.5,268047.2,277999.3,292071,298443.2,292319.2,309064,316523.2,323129.1,329416.5,344717.9,364558.4,395132.8,432992.9
New York,Personal Income,USD,773345.2,861746.5,936618.8,1010874.7,1116265.7,1195700.1,1277091.9,1357392.3,1493696,1614120.3,1729414.7,1732351.3,1828283.7,1878716.5,1937063.4,2041246.8,2147769.2,2268465.8,2400348.9,2540971,2732857.1,2837670.4,2830244.5,2870221.2,2997877.3,3110612.9,3344090.6,3598439.5,3681826.1,3624753,3773571.1,3980925.4,4159166.4,4207192.4,4360003.1,4548329.1,4706618.7,5023106.9,5194676,5372265.4,5620115.3,6032540.3
North Carolina,Personal Income,USD,197024.7,221793.6,237498.9,258607.1,292169.9,315902.4,340597.2,366314.5,402048.2,438366,465980.9,487873.9,530313.5,565308.8,601678.1,645114.1,690063.1,740837.5,792927.9,831772.2,886065,912363.5,927723.6,967220.4,1046413.7,1121567.3,1219490.6,1311545.9,1406550.1,1357765.8,1372417.3,1420006.5,1511469,1492562.4,1575544.1,1659041.6,1716219.7,1799270.8,1892373,2006348.6,2164311.8,2396534
North Dakota,Personal Income,USD,21095.8,27617.3,29819.5,31352.7,33826,34972,35484.1,36423.5,33843.3,37891.2,41025,41607.5,45539.9,46145.6,50127,50209.2,56150.5,55080.2,60314.8,61031.5,66364.3,67723,69424.5,75797.9,77323.6,82005.5,86034.2,95315.3,107770.4,106888.4,119035.2,134351.9,158154.4,158154.9,168725.1,161632.6,156928.1,158974.8,170263.6,175872.8,190485.6,205046.9
Ohio,Personal Income,USD,428897.6,466337.8,488041.7,516660.8,569983.8,605379.3,633673.7,661935.6,712547.1,766148.6,811872.4,831473.7,884299.4,920734.6,972300.8,1019113.2,1066680.7,1128795.8,1193965.5,1229628.2,1295250,1332837.1,1353850.1,1393714.9,1447012,1486535.3,1560360.1,1627146,1688343,1641401.8,1688817.6,1799695.2,1864648.2,1892875.1,1969902.4,2045359.2,2086490.2,2165157.8,2250091.9,2329601.7,2495343.9,2683490.8
Oklahoma,Personal Income,USD,117147.8,136769.8,152637.8,156355.8,167587.8,174380.9,175470.8,174480.6,182338.6,193889.6,204448.4,210894.9,224005.5,232804,243051.8,253430.2,268445.8,284285.6,299774.3,307825.9,333328.4,354438.1,362846.4,381102.6,411669,449950.4,498146,515977.3,574619.4,532873.2,558780.3,601207.8,639501.4,671187.7,710543,690905.2,658836.2,687981.8,723295.9,759925.1,796932.9,880705.9
Oregon,Personal Income,USD,108150.6,116615.3,119960.9,127651.7,138159.5,145193.4,152782.2,160115.2,174919.6,192137.5,207700,218886.7,233688.3,250063.3,267732.8,288175.2,310674.1,329106.5,347511.2,359725.5,387654.9,399142.9,404168.6,418918.5,442322.8,464293.4,506400.4,530422.4,555599.7,537567.2,551705,581380.5,610406.1,619405,660687.6,709912.2,744419.9,789049.4,840179.6,879930.7,959449.9,1049529.5
Pennsylvania,Personal Income,USD,476535.6,525534.2,561313.4,588846.7,635035.2,673191.6,708013,747310.3,812006.1,879307.9,931599.6,971371.3,1023646,1062228.8,1099423.7,1149375.4,1207342.3,1268521.8,1337686.9,1393956.6,1490762.8,1552745,1582533.2,1636743.3,1730538.7,1801438.7,1891762.5,2010635.2,2091975.3,2049272.8,2141341.9,2254115.5,2339521.3,2358880.7,2445686.9,2543272,2613315.4,2686810.9,2828173.6,2916569.4,3135302.2,3333287.8
Rhode Island,Personal Income,USD,37573.9,41820.5,45034.2,48742.2,53444.2,57609.5,61765.4,65926.8,72892,79316.8,81721.4,82593.2,86290.4,89934.7,92202.7,97116,100452.8,106217.3,113398.8,118324.3,127501.1,134447,139862.7,146800.8,154166,156965.2,164648.1,171740.9,175074.5,171059.7,179895.5,186741.5,192745.8,192748.2,200180.6,207100.7,210057.8,218817,227675.7,241254.3,259026.2,279349.3
South Carolina,Personal Income,USD,99887.1,112407.4,119513.1,129808.6,144595.5,154766.5,165419.5,176959.1,192824.4,209866.2,225564,235723.6,250618.6,263408.1,279350.1,295989.8,314608,334787.1,359007.6,376593.9,402821.4,416968.3,429221.1,444786.8,469807.3,497668,536696.7,572220.6,599817.6,587014.8,606983.4,641564.5,673084.9,680819.1,723350.8,768218.7,800109.8,841550.2,879768.4,937296.1,1001153.3,1097391.3
South Dakota,Personal Income,USD,22866.2,26613.5,28047,29108.7,33073.3,33924.8,35388.2,37214,38961.8,41925.3,45935.4,47928,51740.3,54080.6,58295.6,59459,65661.8,67190.9,72411.5,75795.7,80804.7,83568.6,83593.9,91290.9,98212.8,104021.5,109572.5,121370.2,130707.2,127308.2,134731.6,146619.9,149878.6,151360.9,158428.6,164640.3,166206,171957.2,180575.9,192125.6,211173.4,234511.6
Tennessee,Personal Income,USD,152360.3,169497.4,180144.1,192294.1,213781.2,228790.5,244826,263081.1,286452.3,307502.9,327149,344372.6,376089.4,400166.4,425736,457104.3,482597.4,511140.9,559041.4,580927.8,615960.5,632501,651517.7,679718.1,719571.7,752710.3,800755.6,838987.2,873490,868378.8,910452.1,965726.8,1010369.3,1017858.4,1055424.1,1109424.4,1146129.1,1197230.7,1264706.1,1341987.7,1438534.3,1587944.5
Texas,Personal Income,USD,572717.7,672824.3,741709.5,792409,866484.5,933796,955364.1,971064.5,1032032.6,1102453.2,1190657.6,1246593.9,1345538.5,1424190.1,1504850.2,1609411,1729938.1,1889071.2,2059530.3,2175190.4,2366953.4,2524320.8,2557772.6,2659259.7,2785525.3,3019103.5,3309758.7,3515609.7,3873997.2,3693882.8,3928211,4299431.9,4571550,4694989.6,5030558.4,5124680.6,5105322.3,5471304.1,5855159.3,6146388,6444913,7158877.6
Utah,Personal Income,USD,49273.8,55513.7,60232,64544.4,71203.7,76239.3,80119.5,83712.6,89237.4,95768.6,103903.6,111509.9,120423.6,129866,140524.3,153099.1,166731.2,180002.2,192394.1,202680,216922.3,227154.7,234034.4,243081.9,259179.9,282647.4,314244.5,342113.9,359871.1,346378.6,355762,383526.8,407712.6,420111.9,444225.9,478645.9,506162.3,538186.9,578582,622694.6,679760.8,761873.1
Vermont,Personal Income,USD,18026.2,20245.3,21964.6,23624.1,25921.4,28124.6,30259.3,32693.3,35860.5,39612.3,41175.8,42029.2,44908,46644.5,48892.2,51448.8,54182.6,57435.9,61834.7,65304.7,70720.8,75189.8,76792.3,79783.4,84196.4,85909.7,91213.8,96251.8,101797.6,100865.6,103954.9,110191,113167.4,114663.9,118897.9,122391.9,124293.1,127840.7,132468.3,139296.2,149095.4,158414.2
Virginia,Personal Income,USD,226984.3,254605,275220.9,297015.3,330199.1,357076.5,385241.1,414950.9,455423,492604.6,518246.4,540704,574467.4,603569.8,635170.8,667375.6,700335.1,746506.5,799534.4,856102.8,927479.3,977257.4,1005430.9,1065300.8,1138749,1213155.6,1294215.3,1364801.4,1422025.5,1397861.5,1458711.8,1542540.6,1608288.4,1594319.1,1658840.2,1732353,1778765.6,1849488.8,1919066.4,2007246.2,2123681.8,2314558.9
Washington,Personal Income,USD,185018.8,205460.4,218294.5,233167.2,249435,265347.3,283336,298982.8,326607,360855.3,396540.9,425153,458679.5,482185.6,506760.3,535739.2,575717,618443.7,677461.8,719481.4,769271.1,789782.7,804292.5,836671.4,897371.7,931135.1,1012799.5,1099081.8,1157524.5,1111559.2,1141747,1209843.3,1299530.9,1323810.3,1421106.6,1505443.3,1589082.5,1692068.9,1806436.8,1937336.7,2090855.2,2297067.3
West Virginia,Personal Income,USD,62550.3,68180,72239.9,74216.9,79687.7,83026.6,85012.7,86859.3,92886,98317.5,104737,109326.6,117554.5,121902.3,127162.1,131422.6,136608.2,142511.3,148522.3,152314.4,161006.3,171001.4,176972.6,179811.2,186204.8,195417,208587.8,216738.8,231835.6,233949.9,242128.3,256236,261953.6,260610.4,268627.1,273751.2,272271.4,283190.5,296940,306986.2,322963.8,350469.7
Wisconsin,Personal Income,USD,189196.1,206346.1,217704,228854.8,251357.2,264975.7,279525.4,294029,313557.9,341786.3,361672.1,376356.2,405369.5,426460.1,453065.8,476610,503749.5,535234.8,572520.1,594948.1,633976.8,666372.8,684040.1,703177.2,734885.6,759116.7,804233.5,842119.5,876778.1,864847.6,889043.7,938526.3,978033.3,983049.1,1020661.2,1064528.2,1083386.5,1127918.2,1183987.2,1231630.5,1307346.1,1420192
Wyoming,Personal Income,USD,22029.2,25177,26445.8,26275.9,27393.4,28624.4,28501.3,27334.5,27975.6,30528.1,32924,34603,36489,38587.3,40343,42252.8,44173.4,47458.3,50460.6,53907,58181.1,61763,63621.2,67748.9,73149.7,80017.7,91582.2,97633.4,108010.2,99651,104741.8,114799.5,123377.6,122776.3,130718.5,131022.2,124360.6,129949.6,136100.8,142370.4,151465.5,163466.3
Alabama,GDP per Capita,Current dollars,92524.60281,102216.8245,105516.4966,114760.6822,126010.1664,135030.1572,140503.6466,151327.6095,163540.2185,169519.3239,176688.9585,185347.9106,195268.9615,200505.3389,210645.9535,222291.0073,229239.5792,239740.0602,250144.7885,261465.9443,269829.8112,275392.5232,285970.6582,297478.7781,324201.0281,342253.7723,355040.9907,364369.2059,365980.6291,355465.9603,366669.2857,379048.8957,387311.9225,397729.6482,402659.5581,412369.9767,420098.816,432341.4833,451855.0879,464841.5382,446893.2388,510825.918
Arizona,GDP per Capita,Current dollars,110538.7077,118959.8407,118766.9991,128854.7635,145093.1065,154843.3991,165180.4377,171816.2068,179342.9081,182224.3155,186889.7589,189717.7198,201749.8608,210267.5233,225547.6858,235952.6759,246094.3461,279272.0694,293418.3188,309092.4979,318975.2094,325175.4014,332592.8815,349822.2622,363368.4004,390871.0229,411591.303,425192.7102,412814.739,384295.5728,387251.5311,398369.4235,408868.4181,414499.3964,423075.5578,437031.0312,450780.4222,468420.0878,489540.9526,507579.6338,518265.5197,594404.3626
Arkansas,GDP per Capita,Current dollars,87768.89273,98591.31591,101065.5315,108220.0015,121796.7149,125184.4613,130545.2687,138104.4819,147682.8641,156979.7226,162786.3358,173203.9692,184645.2626,192109.8496,204172.4622,212230.8954,220814.9033,230007.0355,237589.2371,251865.4831,256629.239,262598.6831,273423.8581,287381.9737,307515.1126,322330.0014,334725.7262,340483.7379,344451.3479,334791.0121,345553.9668,357383.3456,364792.8325,380902.4209,391246.9823,395117.0776,398392.9488,409402.2514,424151.6307,433481.4638,428198.4031,501683.2082
California,GDP per Capita,Current dollars,137889.4827,151737.2217,158410.9142,167993.9328,187457.6528,200210.9821,209359.4632,224876.4813,240686.1238,254455.4047,266652.848,267385.4022,268469.7836,271105.0206,279198.5945,292123.2958,304007.0104,329781.0965,347991.8788,372466.8801,401955.8151,402428.5417,412751.8296,434162.4534,458875.0966,489184.908,520485.4907,539394.2413,543702.7585,519266.0396,528814.4954,544510.5393,565058.6299,591186.3637,621736.849,657933.3038,682287.6215,719674.0742,754379.9154,794368.7764,782688.8708,872891.5986
Colorado,GDP per Capita,Current dollars,132171.2058,148040.6152,155678.7026,161122.8369,176757.3766,184029.4248,185114.9424,194321.2604,204568.5839,213797.1772,225845.3062,234559.2227,245553.4836,258978.6631,272627.3358,284899.1011,298772.5423,340733.2417,365260.1066,388384.5265,417602.4938,423767.4287,425489.8109,434489.3891,446719.1678,475631.9669,489905.8834,512401.673,523199.0314,500119.3638,506505.6456,516039.3604,526784.3871,547136.9101,571103.3646,583009.3093,591209.4568,619813.79,653752.4431,682446.7403,674302.3903,769240.8419
Connecticut,GDP per Capita,Current dollars,130326.7983,143995.996,155947.0585,170559.5988,192329.3419,207920.2632,225976.5906,250769.1029,274233.6842,289446.5622,300546.7552,303960.6164,314459.4257,326135.6683,338935.1595,356918.9542,372096.8566,413657.8224,432147.0681,449899.1702,486029.421,503474.5334,509408.4595,520128.6558,567154.0868,594991.4969,633736.5599,673034.9534,678524.4385,665172.4813,665102.2457,659906.8949,678998.8126,678925.533,691879.4882,731136.241,745139.5737,762364.1941,782703.946,807124.0166,785167.149,821123.3982
Delaware,GDP per Capita,Current dollars,130975.8135,146164.0944,155787.8855,171968.7047,190805.5562,210730.1073,224839.4175,247540.6078,264583.7612,291398.4146,303091.4009,324544.7093,331963.881,337312.3172,350110.446,377877.4183,391388.6666,444452.1329,485567.9354,521649.3116,553374.798,585094.3636,568468.8942,583510.0849,617928.6786,615609.0635,639575.7785,645613.5883,619744.4432,642204.4789,644549.4733,670146.2114,675756.2385,660210.0292,723904.7894,759478.3799,729315.8131,729683.0079,767195.9751,789238.513,761320.6273,825498.7406
Florida,GDP per Capita,Current dollars,103061.6875,113806.1029,119961.9344,130033.4544,143807.1364,152852.7581,161193.8733,172759.1299,184647.0129,193572.1307,198218.3033,201831.7704,209162.2222,219022.0062,228629.7134,237153.6418,246622.9863,264507.3482,277135.999,289857.0322,304387.3771,315803.5543,328591.0732,343121.7851,365245.9863,390796.2196,409897.622,418431.3541,405332.9937,389037.6614,391720.6295,391766.7383,398260.4201,409625.1994,423285.7255,444012.944,456465.0127,471989.512,494143.5223,514841.4372,507560.1056,592006.1319
Georgia,GDP per Capita,Current dollars,103800.9367,115520.8387,122300.1642,135060.4932,153329.6898,166511.8415,178909.3694,189874.2027,202109.2316,210498.4202,217140.553,223541.0916,235894.3983,246795.7537,262177.8316,277693.1377,292651.6207,315782.0088,337407.6243,359741.3113,371956.5209,378739.12,383944.8413,395030.9372,415347.8541,433568.5434,439612.6264,443615.1148,433307.2098,422069.2234,426951.2734,436396.4164,447884.6033,460703.1843,481851.5244,506466.7797,525096.0329,545643.8596,572299.3037,588739.5771,576982.387,650214.149
Idaho,GDP per Capita,Current dollars,103461.7709,109405.0742,107772.3655,117806.2994,125923.3318,130546.4905,132030.9991,140233.9296,152567.6678,168007.1438,175220.0746,179148.3085,189925.2112,205254.8414,217379.5344,230650.5782,233574.9071,240320.8739,248329.1145,268503.5518,293440.9703,284052.1167,289621.0903,296452.1997,315173.4227,335784.3669,347154.4643,357881.3438,362273.8412,345873.3344,351506.4435,356734.1972,362051.1182,379362.217,390868.2994,399892.2841,410178.286,426147.4812,451412.4403,467650.6098,454390.4606,518723.4483
